SN;Filt;MJD;mag
2001V ; 5;52036.15155;16.766
2001V ; 5;52036.16660;16.730
2001V ; 5;52040.29446;16.934
2001V ; 5;52051.26537;17.290
2001ah; 2;52002.34491;17.701
2001ah; 2;52002.36223;17.723
2001ah; 2;52032.14931;19.702
2001ah; 2;52034.16060;19.792
2001ah; 2;52037.18672;19.941
2001ah; 2;52040.26889;20.337
2001ah; 2;52051.21612;20.772
2001ah; 3;52002.34855;17.684
2001ah; 3;52032.15295;18.708
2001ah; 3;52034.16424;18.876
2001ah; 3;52038.35392;19.064
2001ah; 3;52040.27253;19.239
2001ah; 3;52051.21976;19.731
2001ah; 3;52060.17412;20.360
2001ah; 4;52002.35127;17.715
2001ah; 4;52032.15569;18.347
2001ah; 4;52034.16694;18.374
2001ah; 4;52037.19310;18.467
2001ah; 4;52038.35662;18.554
2001ah; 4;52040.27525;18.494
2001ah; 4;52051.22247;19.085
2001ah; 4;52060.17684;19.441
2001ah; 5;52002.35378;17.921
2001ah; 5;52032.15818;18.763
2001ah; 5;52034.16943;18.705
2001ah; 5;52036.14873;18.703
2001ah; 5;52037.17925;18.619
2001ah; 5;52037.18024;18.633
2001ah; 5;52040.27774;18.647
2001ah; 5;52051.22494;19.290
2001ah; 5;52060.17933;19.754
2001ay; 1;52022.42715;16.442
2001ay; 1;52026.16162;16.565
2001ay; 1;52030.25066;16.860
2001ay; 1;52034.31075;17.307
2001ay; 1;52036.32281;17.549
2001ay; 1;52037.29863;17.707
2001ay; 1;52040.38023;17.884
2001ay; 1;52045.34269;18.404
2001ay; 1;52051.27613;18.440
2001ay; 1;52052.43035;18.680
2001ay; 1;52056.19054;18.848
2001ay; 1;52059.28594;19.210
2001ay; 1;52073.25666;19.619
2001ay; 1;52111.22964;19.878
2001ay; 2;52022.43041;16.730
2001ay; 2;52030.25394;16.988
2001ay; 2;52040.38350;17.662
2001ay; 2;52045.34581;18.080
2001ay; 2;52051.27940;18.399
2001ay; 2;52052.43362;18.560
2001ay; 2;52056.19382;18.709
2001ay; 2;52059.28919;18.954
2001ay; 2;52073.25993;19.279
2001ay; 2;52111.21722;19.987
2001ay; 2;52111.23366;19.853
2001ay; 2;52122.14581;19.939
2001ay; 3;52022.43288;16.618
2001ay; 3;52029.13855;16.741
2001ay; 3;52030.25642;16.735
2001ay; 3;52038.39411;16.983
2001ay; 3;52040.38597;17.101
2001ay; 3;52045.34823;17.330
2001ay; 3;52045.34823;17.332
2001ay; 3;52051.28189;17.544
2001ay; 3;52052.43610;17.579
2001ay; 3;52056.19628;17.764
2001ay; 3;52059.29168;17.932
2001ay; 3;52073.26242;18.375
2001ay; 3;52111.22039;19.081
2001ay; 3;52111.23684;19.093
2001ay; 3;52122.14899;19.365
2001ay; 4;52022.43466;16.561
2001ay; 4;52029.14037;16.663
2001ay; 4;52030.25822;16.693
2001ay; 4;52034.31831;16.822
2001ay; 4;52036.33039;16.850
2001ay; 4;52037.30617;16.905
2001ay; 4;52038.39590;16.910
2001ay; 4;52040.38775;16.899
2001ay; 4;52045.34997;17.024
2001ay; 4;52049.14150;17.028
2001ay; 4;52051.28369;17.094
2001ay; 4;52052.43791;17.121
2001ay; 4;52052.43791;17.107
2001ay; 4;52056.19808;17.240
2001ay; 4;52059.29347;17.411
2001ay; 4;52111.23934;19.011
2001ay; 5;52022.43609;16.776
2001ay; 5;52026.17062;16.752
2001ay; 5;52029.14182;16.817
2001ay; 5;52030.25966;16.867
2001ay; 5;52036.33185;17.026
2001ay; 5;52037.30762;17.040
2001ay; 5;52038.39734;17.061
2001ay; 5;52040.38920;17.027
2001ay; 5;52045.35134;17.010
2001ay; 5;52051.28514;16.958
2001ay; 5;52052.43935;16.948
2001ay; 5;52056.19953;16.991
2001ay; 5;52059.29491;17.103
2001ay; 5;52073.26564;17.622
2001ay; 5;52111.22468;18.719
2001ay; 5;52111.24113;18.687
2001az; 1;52034.39608;17.185
2001az; 1;52037.33847;17.364
2001az; 2;52034.39936;17.189
2001az; 2;52036.34204;17.221
2001az; 2;52037.34175;17.325
2001az; 2;52038.40943;17.358
2001az; 2;52040.41903;17.473
2001az; 2;52051.37325;18.543
2001az; 2;52081.42372;20.279
2001az; 3;52034.40185;17.123
2001az; 3;52036.34455;17.178
2001az; 3;52038.41191;17.265
2001az; 3;52040.42152;17.359
2001az; 3;52051.37575;17.967
2001az; 4;52034.40366;17.017
2001az; 4;52036.34635;17.081
2001az; 4;52037.33330;17.119
2001az; 4;52037.33428;17.114
2001az; 4;52037.34605;17.153
2001az; 4;52040.42331;17.268
2001az; 4;52051.37753;17.833
2001az; 4;52081.42940;19.173
2001az; 5;52034.40513;17.542
2001az; 5;52036.34781;17.562
2001az; 5;52037.34750;17.620
2001az; 5;52040.42476;17.839
2001az; 5;52051.37899;18.452
2001az; 5;52081.43119;19.047
2001bf; 1;52047.38542;14.745
2001bf; 1;52050.45251;15.102
2001bf; 1;52051.41358;15.089
2001bf; 1;52053.43769;15.294
2001bf; 1;52056.33959;15.598
2001bf; 1;52059.29858;15.878
2001bf; 1;52075.25477;17.800
2001bf; 1;52081.44911;18.004
2001bf; 1;52169.26125;19.354
2001bf; 2;52047.38868;15.093
2001bf; 2;52050.45576;15.211
2001bf; 2;52051.41685;15.247
2001bf; 2;52053.44095;15.371
2001bf; 2;52056.34286;15.570
2001bf; 2;52059.30185;15.822
2001bf; 2;52075.25802;17.437
2001bf; 2;52169.26531;18.992
2001bf; 2;52188.13976;19.373
2001bf; 3;52047.39117;15.008
2001bf; 3;52050.45825;15.067
2001bf; 3;52051.41933;15.097
2001bf; 3;52053.44343;15.175
2001bf; 3;52056.34534;15.313
2001bf; 3;52059.30433;15.440
2001bf; 3;52075.26053;16.384
2001bf; 3;52081.45637;16.623
2001bf; 3;52169.26851;18.594
2001bf; 3;52188.14225;19.043
2001bf; 4;52047.39299;14.912
2001bf; 4;52050.46006;14.967
2001bf; 4;52051.42111;15.009
2001bf; 4;52053.44522;15.109
2001bf; 4;52056.34713;15.237
2001bf; 4;52059.30611;15.279
2001bf; 4;52075.26234;15.814
2001bf; 4;52081.45885;16.096
2001bf; 4;52169.27101;18.741
2001bf; 5;52047.39443;15.042
2001bf; 5;52050.46150;15.111
2001bf; 5;52051.42257;15.148
2001bf; 5;52053.44668;15.246
2001bf; 5;52056.34859;15.322
2001bf; 5;52059.30757;15.268
2001bf; 5;52075.26378;15.462
2001bf; 5;52169.27279;18.360
2001cp; 2;52102.30186;16.958
2001cp; 3;52084.39325;16.217
2001cp; 3;52113.28851;17.294
2001cp; 3;52113.32006;17.317
2001cp; 3;52188.10036;19.477
2001cp; 4;52084.39507;16.069
2001cp; 4;52113.29030;16.928
2001cp; 4;52113.32185;16.938
2001cp; 5;52084.39652;16.135
2001cp; 5;52113.29176;17.154
2001da; 1;52109.45175;15.125
2001da; 1;52118.37714;16.629
2001da; 1;52121.45588;17.198
2001da; 1;52197.13816;19.340
2001da; 2;52109.45507;15.727
2001da; 2;52118.38049;16.421
2001da; 2;52164.34997;18.938
2001da; 2;52188.19547;19.142
2001da; 2;52197.12802;19.253
2001da; 3;52109.45756;15.535
2001da; 3;52110.39498;15.563
2001da; 3;52121.46171;16.102
2001da; 3;52164.35314;18.048
2001da; 3;52188.19867;18.612
2001da; 3;52197.13123;18.775
2001da; 4;52109.45940;15.408
2001da; 4;52110.39676;15.430
2001da; 4;52164.35561;17.677
2001da; 4;52188.20117;18.548
2001da; 4;52197.13374;18.793
2001da; 5;52109.46087;15.736
2001da; 5;52110.39821;15.739
2001da; 5;52121.46499;16.158
2001da; 5;52164.35740;17.616
2001da; 5;52197.13588;18.781
2001eh; 1;52169.32277;16.477
2001eh; 1;52171.20622;16.639
2001eh; 1;52172.19707;16.660
2001eh; 1;52173.21206;16.737
2001eh; 1;52178.38027;17.190
2001eh; 1;52193.27749;18.757
2001eh; 1;52204.23168;19.620
2001eh; 1;52206.24733;19.750
2001eh; 1;52221.13888;19.861
2001eh; 1;52225.12333;20.039
2001eh; 1;52226.26410;19.808
2001eh; 1;52257.23285;20.211
2001eh; 1;52267.22385;20.086
2001eh; 2;52169.32618;16.822
2001eh; 2;52170.27199;16.862
2001eh; 2;52171.20943;16.884
2001eh; 2;52172.20030;16.915
2001eh; 2;52173.21528;16.922
2001eh; 2;52178.38355;17.185
2001eh; 2;52193.28072;18.544
2001eh; 2;52196.19568;18.846
2001eh; 2;52197.16645;18.885
2001eh; 2;52204.23575;19.247
2001eh; 2;52206.25137;19.399
2001eh; 2;52220.14255;19.725
2001eh; 2;52221.12932;19.810
2001eh; 2;52222.14861;19.866
2001eh; 2;52225.12722;19.858
2001eh; 2;52226.26800;19.820
2001eh; 2;52257.22329;20.335
2001eh; 2;52258.13848;20.306
2001eh; 2;52261.13080;20.441
2001eh; 2;52267.22778;20.489
2001eh; 3;52169.32002;16.759
2001eh; 3;52169.32868;16.777
2001eh; 3;52170.27449;16.792
2001eh; 3;52171.21194;16.786
2001eh; 3;52172.20278;16.803
2001eh; 3;52173.21777;16.800
2001eh; 3;52178.38633;16.960
2001eh; 3;52188.24149;17.570
2001eh; 3;52193.28323;17.732
2001eh; 3;52196.19818;17.879
2001eh; 3;52197.16892;17.943
2001eh; 3;52204.23892;18.187
2001eh; 3;52206.25458;18.326
2001eh; 3;52220.14574;18.788
2001eh; 3;52221.13264;18.965
2001eh; 3;52222.15182;18.938
2001eh; 3;52225.13042;18.965
2001eh; 3;52226.27118;19.061
2001eh; 3;52257.22647;19.580
2001eh; 3;52258.14167;19.521
2001eh; 3;52266.19079;19.841
2001eh; 4;52169.33047;16.684
2001eh; 4;52170.27631;16.701
2001eh; 4;52171.21373;16.688
2001eh; 4;52172.20456;16.708
2001eh; 4;52173.21957;16.697
2001eh; 4;52178.38821;16.914
2001eh; 4;52188.24329;17.459
2001eh; 4;52193.28500;17.512
2001eh; 4;52196.19997;17.543
2001eh; 4;52197.17071;17.567
2001eh; 4;52204.24142;17.709
2001eh; 4;52206.25707;17.829
2001eh; 4;52221.12829;18.593
2001eh; 4;52221.13515;18.533
2001eh; 4;52222.15431;18.562
2001eh; 4;52225.13291;18.670
2001eh; 4;52226.27368;18.793
2001eh; 4;52257.22897;19.563
2001eh; 4;52261.13648;19.796
2001eh; 4;52266.19328;19.795
2001eh; 4;52267.23345;19.764
2001eh; 5;52169.33192;17.048
2001eh; 5;52170.27775;17.113
2001eh; 5;52171.21517;17.158
2001eh; 5;52172.20602;17.195
2001eh; 5;52173.22102;17.142
2001eh; 5;52178.38962;17.416
2001eh; 5;52188.24473;17.897
2001eh; 5;52193.28646;17.862
2001eh; 5;52196.20140;17.824
2001eh; 5;52204.24322;17.847
2001eh; 5;52206.25889;17.762
2001eh; 5;52221.13694;18.619
2001eh; 5;52222.15610;18.628
2001eh; 5;52225.13469;18.781
2001eh; 5;52257.23078;19.914
2001eh; 5;52261.13828;20.138
2001eh; 5;52266.19507;20.287
2001eh; 5;52267.23527;20.318
2001en; 1;52197.14856;15.444
2001en; 1;52206.22347;16.447
2001en; 1;52221.12413;18.104
2001en; 1;52222.14331;18.174
2001en; 1;52225.10766;18.316
2001en; 1;52257.20596;18.913
2001en; 1;52258.13436;19.093
2001en; 1;52266.16265;18.803
2001en; 1;52267.20338;18.888
2001en; 2;52196.38288;15.372
2001en; 2;52197.14399;15.429
2001en; 2;52206.22681;16.309
2001en; 2;52221.11679;17.882
2001en; 2;52222.13318;17.940
2001en; 2;52225.11089;18.123
2001en; 2;52226.25530;18.216
2001en; 2;52257.19640;18.773
2001en; 2;52258.12481;18.803
2001en; 2;52267.20729;18.942
2001en; 3;52196.38434;15.224
2001en; 3;52197.14546;15.237
2001en; 3;52206.22931;15.759
2001en; 3;52221.11927;16.674
2001en; 3;52222.13708;16.776
2001en; 3;52225.11337;17.010
2001en; 3;52226.25779;17.064
2001en; 3;52257.19958;17.982
2001en; 3;52258.12800;17.977
2001en; 3;52267.21046;18.206
2001en; 4;52196.38546;15.158
2001en; 4;52197.14657;15.186
2001en; 4;52206.23113;15.835
2001en; 4;52221.12109;16.152
2001en; 4;52222.13957;16.241
2001en; 4;52225.11516;16.489
2001en; 4;52226.25958;16.555
2001en; 4;52257.20208;17.706
2001en; 4;52258.13049;17.686
2001en; 4;52267.21295;17.989
2001en; 5;52196.38639;15.534
2001en; 5;52197.14750;15.566
2001en; 5;52206.23260;16.135
2001en; 5;52221.11539;15.898
2001en; 5;52221.12253;15.876
2001en; 5;52222.14137;15.964
2001en; 5;52225.11661;16.225
2001en; 5;52226.26103;16.288
2001en; 5;52257.20390;17.718
2001en; 5;52258.13229;17.822
2001en; 5;52266.17405;17.917
2001en; 5;52267.21475;17.966
2001ep; 1;52195.43237;14.886
2001ep; 1;52197.46390;14.828
2001ep; 1;52198.30669;14.830
2001ep; 1;52199.31354;14.823
2001ep; 1;52205.30618;15.405
2001ep; 1;52206.37925;15.539
2001ep; 1;52206.39015;15.535
2001ep; 1;52221.52928;17.272
2001ep; 1;52226.34751;17.503
2001ep; 1;52230.38240;18.024
2001ep; 1;52234.30244;18.260
2001ep; 1;52257.31517;18.720
2001ep; 1;52267.32021;18.924
2001ep; 2;52196.45727;15.156
2001ep; 2;52197.45933;15.155
2001ep; 2;52198.30991;15.080
2001ep; 2;52199.31675;15.049
2001ep; 2;52203.34341;15.176
2001ep; 2;52221.52194;17.176
2001ep; 2;52226.35073;17.644
2001ep; 2;52230.38563;17.799
2001ep; 2;52266.29782;18.532
2001ep; 3;52195.43807;15.182
2001ep; 3;52196.45873;15.104
2001ep; 3;52197.46079;15.037
2001ep; 3;52198.31240;15.026
2001ep; 3;52199.31925;14.980
2001ep; 3;52203.34591;14.979
2001ep; 3;52205.31189;15.037
2001ep; 3;52206.39601;15.070
2001ep; 3;52221.52443;16.040
2001ep; 3;52227.40660;16.406
2001ep; 3;52230.38815;16.619
2001ep; 3;52234.30814;16.840
2001ep; 3;52257.30878;17.578
2001ep; 3;52266.30102;17.769
2001ep; 3;52267.32734;17.775
2001ep; 3;52320.17340;18.977
2001ep; 4;52195.43986;14.984
2001ep; 4;52196.45983;14.950
2001ep; 4;52197.46190;14.899
2001ep; 4;52198.31420;14.893
2001ep; 4;52199.32105;14.859
2001ep; 4;52203.34770;14.879
2001ep; 4;52205.31368;14.929
2001ep; 4;52206.38692;14.964
2001ep; 4;52206.39782;14.975
2001ep; 4;52221.52050;15.621
2001ep; 4;52221.52625;15.610
2001ep; 4;52227.40840;15.844
2001ep; 4;52230.38994;16.072
2001ep; 4;52234.30993;16.355
2001ep; 4;52257.31128;17.191
2001ep; 4;52266.30351;17.500
2001ep; 4;52267.32983;17.481
2001ep; 4;52320.17588;19.116
2001ep; 5;52195.44131;15.031
2001ep; 5;52196.46075;14.986
2001ep; 5;52197.46284;14.964
2001ep; 5;52198.31565;14.990
2001ep; 5;52199.32285;15.009
2001ep; 5;52203.34913;15.116
2001ep; 5;52205.31514;15.196
2001ep; 5;52206.38839;15.251
2001ep; 5;52206.39929;15.246
2001ep; 5;52221.52770;15.400
2001ep; 5;52227.40985;15.529
2001ep; 5;52230.39140;15.690
2001ep; 5;52234.31138;16.011
2001ep; 5;52257.31310;17.084
2001ep; 5;52266.30530;17.410
2001ep; 5;52320.17766;19.207
2001fe; 1;52227.49497;14.177
2001fe; 1;52233.45095;14.577
2001fe; 1;52235.45403;14.686
2001fe; 1;52257.46042;17.184
2001fe; 1;52263.39328;17.701
2001fe; 1;52266.46172;17.797
2001fe; 1;52267.48736;17.861
2001fe; 1;52283.32250;18.188
2001fe; 1;52292.33936;18.433
2001fe; 1;52320.25019;19.127
2001fe; 2;52227.49880;14.775
2001fe; 2;52233.45484;14.872
2001fe; 2;52235.45795;14.981
2001fe; 2;52255.52802;16.802
2001fe; 2;52257.45083;16.973
2001fe; 2;52263.39719;17.398
2001fe; 2;52266.46564;17.591
2001fe; 2;52267.49128;17.548
2001fe; 2;52283.32640;17.984
2001fe; 2;52292.34326;18.189
2001fe; 2;52320.25410;18.612
2001fe; 3;52227.50128;14.746
2001fe; 3;52229.38454;14.720
2001fe; 3;52233.45801;14.770
2001fe; 3;52235.46116;14.838
2001fe; 3;52255.53120;15.930
2001fe; 3;52257.45404;15.997
2001fe; 3;52263.40037;16.342
2001fe; 3;52266.46881;16.550
2001fe; 3;52267.49448;16.589
2001fe; 3;52283.32957;17.116
2001fe; 3;52292.34645;17.353
2001fe; 3;52320.25727;18.082
2001fe; 4;52227.50308;14.749
2001fe; 4;52229.38701;14.708
2001fe; 4;52233.46049;14.816
2001fe; 4;52235.46366;14.845
2001fe; 4;52255.53369;15.541
2001fe; 4;52257.45654;15.647
2001fe; 4;52263.40288;15.911
2001fe; 4;52266.47128;16.105
2001fe; 4;52267.49696;16.176
2001fe; 4;52283.33204;16.824
2001fe; 4;52292.34896;17.182
2001fe; 4;52320.25975;17.989
2001fe; 5;52255.53550;15.509
2001fe; 5;52257.45834;15.506
2001fe; 5;52263.40469;15.641
2001fe; 5;52266.47308;15.844
2001fe; 5;52292.35075;17.095
2001fe; 5;52320.26153;17.899
2001fh; 1;52220.10258;17.505
2001fh; 1;52221.08561;17.549
2001fh; 1;52222.07096;17.571
2001fh; 1;52225.09123;17.582
2001fh; 1;52228.05774;17.887
2001fh; 1;52231.09824;18.231
2001fh; 1;52235.09314;19.100
2001fh; 2;52220.09313;17.408
2001fh; 2;52221.07517;17.358
2001fh; 2;52222.06084;17.332
2001fh; 2;52225.09583;17.267
2001fh; 2;52228.06236;17.371
2001fh; 2;52231.10286;17.656
2001fh; 2;52235.09774;18.148
2001fh; 2;52257.05852;19.984
2001fh; 2;52258.05850;19.908
2001fh; 2;52267.08271;20.213
2001fh; 3;52220.09632;16.940
2001fh; 3;52221.07906;16.858
2001fh; 3;52222.06472;16.837
2001fh; 3;52222.07598;16.799
2001fh; 3;52225.09972;16.725
2001fh; 3;52228.06624;16.717
2001fh; 3;52231.10671;16.872
2001fh; 3;52235.10161;17.198
2001fh; 3;52257.06241;18.751
2001fh; 3;52258.06238;18.790
2001fh; 3;52267.08660;19.096
2001fh; 4;52220.09883;16.399
2001fh; 4;52221.08155;16.342
2001fh; 4;52222.06723;16.353
2001fh; 4;52225.10221;16.210
2001fh; 4;52228.06873;16.301
2001fh; 4;52231.10919;16.541
2001fh; 4;52235.10409;16.784
2001fh; 4;52257.06491;18.066
2001fh; 4;52258.06488;17.993
2001fh; 4;52267.08907;18.721
2001fh; 5;52220.10064;16.095
2001fh; 5;52221.08334;16.049
2001fh; 5;52222.06903;16.058
2001fh; 5;52225.10399;16.148
2001fh; 5;52228.07052;16.241
2001fh; 5;52231.11097;16.479
2001fh; 5;52235.10589;16.651
2001fh; 5;52257.06671;17.411
2001fh; 5;52258.06668;17.346
2001fh; 5;52267.09086;17.801
2001gb; 2;52257.46550;18.653
2001gb; 2;52267.51512;19.102
2001gb; 2;52320.27152;20.533
2001gb; 3;52257.46870;17.623
2001gb; 3;52266.48929;18.235
2001gb; 3;52267.51831;18.287
2001gb; 3;52320.27469;19.832
2001gb; 4;52257.47120;17.220
2001gb; 4;52266.49178;17.594
2001gb; 4;52267.52081;17.633
2001gb; 4;52320.27716;19.524
2001gb; 5;52257.47301;17.315
