SN;Filt;MJD;mag
2001C ; 1;51933.28865;16.960
2001C ; 1;51957.12972;17.917
2001C ; 1;51963.19172;18.030
2001C ; 1;51987.11832;18.549
2001C ; 1;52014.11727;19.156
2001C ; 2;51933.29189;16.425
2001C ; 2;51957.13304;17.559
2001C ; 2;51963.21380;17.661
2001C ; 2;51987.12167;18.008
2001C ; 2;51992.10215;18.082
2001C ; 2;51994.15929;18.153
2001C ; 2;52002.16551;18.281
2001C ; 2;52002.16551;18.281
2001C ; 2;52014.12054;18.424
2001C ; 3;51933.29438;15.474
2001C ; 3;51957.13560;16.590
2001C ; 3;51963.20535;16.712
2001C ; 3;51963.21635;16.733
2001C ; 3;51987.12418;17.358
2001C ; 3;51992.10469;17.466
2001C ; 3;51994.16255;17.547
2001C ; 3;52002.16800;17.664
2001C ; 3;52014.12304;17.956
2001C ; 4;51933.29616;15.183
2001C ; 4;51957.13747;16.181
2001C ; 4;51963.20722;16.440
2001C ; 4;51963.21822;16.426
2001C ; 4;51987.12598;17.178
2001C ; 4;51992.10653;17.326
2001C ; 4;51994.16509;17.377
2001C ; 4;52014.12483;17.965
2001C ; 5;51933.29758;15.212
2001C ; 5;51963.20872;16.340
2001C ; 5;51963.21976;16.338
2001C ; 5;51987.12749;17.313
2001C ; 5;51992.10803;17.501
2001C ; 5;51994.16697;17.568
2001C ; 5;52014.12626;18.296
2001G ; 1;51933.35581;14.772
2001G ; 1;51986.24803;18.386
2001G ; 1;51989.24924;18.594
2001G ; 1;52027.12301;19.183
2001G ; 2;51963.35495;17.590
2001G ; 2;51986.25140;18.205
2001G ; 2;51989.25255;18.245
2001G ; 2;52027.12700;18.817
2001G ; 3;51930.31596;15.057
2001G ; 3;51933.36156;15.051
2001G ; 3;51963.35750;16.606
2001G ; 3;51989.25512;17.568
2001G ; 3;51994.27528;17.716
2001G ; 3;52022.26957;18.367
2001G ; 3;52027.13019;18.454
2001G ; 3;52051.20023;19.009
2001G ; 4;51930.31777;14.997
2001G ; 4;51933.36336;15.007
2001G ; 4;51963.35936;16.189
2001G ; 4;51986.25582;17.193
2001G ; 4;51989.25698;17.268
2001G ; 4;51994.26437;17.503
2001G ; 4;51994.27785;17.432
2001G ; 4;52022.27204;18.326
2001G ; 4;52027.13266;18.414
2001G ; 4;52051.20272;19.087
2001G ; 5;51930.31921;15.445
2001G ; 5;51933.36478;15.505
2001G ; 5;51986.25733;17.201
2001G ; 5;51989.25851;17.255
2001G ; 5;51994.27973;17.542
2001G ; 5;52022.27383;18.729
2001G ; 5;52027.13446;18.741
2001G ; 5;52051.20450;19.117
2001N ; 2;51933.40912;16.760
2001N ; 2;51934.52686;16.798
2001N ; 2;51953.24632;18.907
2001N ; 2;51957.16950;18.891
2001N ; 3;51933.41159;16.413
2001N ; 3;51934.52943;16.362
2001N ; 3;51953.24925;17.542
2001N ; 3;51957.17510;17.619
2001N ; 4;51933.41338;16.204
2001N ; 4;51934.53133;16.206
2001N ; 4;51939.30172;16.454
2001N ; 4;51953.25146;16.950
2001N ; 4;51957.17704;17.012
2001N ; 5;51933.41480;16.532
2001N ; 5;51934.53287;16.608
2001N ; 5;51939.30321;17.059
2001N ; 5;51953.23955;17.096
2001N ; 5;51953.25332;17.065
2001N ; 5;51957.17853;16.767
2001V ; 1;51961.30133;15.607
2001V ; 1;51962.31150;15.263
2001V ; 1;51966.43417;14.333
2001V ; 1;51975.26529;14.371
2001V ; 1;51983.51324;15.067
2001V ; 1;51984.40657;15.112
2001V ; 1;51985.31483;15.151
2001V ; 1;51988.24015;15.518
2001V ; 1;51991.12323;15.926
2001V ; 1;51994.40903;16.410
2001V ; 1;51995.35500;16.586
2001V ; 1;51996.31128;16.652
2001V ; 1;51998.29326;16.891
2001V ; 1;52002.31150;17.341
2001V ; 1;52018.31821;17.763
2001V ; 1;52022.36152;17.974
2001V ; 1;52028.11999;18.242
2001V ; 1;52031.19580;18.255
2001V ; 1;52040.28255;18.348
2001V ; 2;51959.53666;16.725
2001V ; 2;51961.30468;15.962
2001V ; 2;51962.31481;15.636
2001V ; 2;51963.39244;15.368
2001V ; 2;51966.43748;14.955
2001V ; 2;51967.40618;14.853
2001V ; 2;51975.26907;14.721
2001V ; 2;51980.50308;14.888
2001V ; 2;51981.50539;14.964
2001V ; 2;51983.50448;15.095
2001V ; 2;51984.41103;15.117
2001V ; 2;51985.31865;15.186
2001V ; 2;51988.24392;15.472
2001V ; 2;51991.16480;15.774
2001V ; 2;51994.41240;16.179
2001V ; 2;51995.35878;16.288
2001V ; 2;51996.31500;16.369
2001V ; 2;51998.29700;16.485
2001V ; 2;52002.29929;16.964
2001V ; 2;52002.31546;16.946
2001V ; 2;52013.24420;17.539
2001V ; 2;52020.34772;17.686
2001V ; 2;52022.36617;17.731
2001V ; 2;52025.18817;17.765
2001V ; 2;52028.12464;17.775
2001V ; 2;52031.20045;17.863
2001V ; 2;52035.13508;17.946
2001V ; 2;52036.15773;17.871
2001V ; 2;52038.36803;18.001
2001V ; 2;52051.25817;17.993
2001V ; 2;52060.19082;18.252
2001V ; 3;51959.53209;16.601
2001V ; 3;51959.53921;16.580
2001V ; 3;51961.30723;15.923
2001V ; 3;51963.39497;15.524
2001V ; 3;51965.32613;15.114
2001V ; 3;51966.44531;14.975
2001V ; 3;51967.40943;14.872
2001V ; 3;51975.27161;14.665
2001V ; 3;51980.50563;14.729
2001V ; 3;51980.51881;14.702
2001V ; 3;51981.52015;14.766
2001V ; 3;51982.50203;14.822
2001V ; 3;51983.50699;14.842
2001V ; 3;51983.51954;14.861
2001V ; 3;51984.41361;14.886
2001V ; 3;51985.32116;14.933
2001V ; 3;51988.24642;15.091
2001V ; 3;51991.16736;15.288
2001V ; 3;51994.41497;15.450
2001V ; 3;51995.36132;15.495
2001V ; 3;51996.31750;15.524
2001V ; 3;51998.29950;15.622
2001V ; 3;52002.30178;15.913
2001V ; 3;52002.31866;15.870
2001V ; 3;52013.24738;16.530
2001V ; 3;52020.35089;16.759
2001V ; 3;52022.36935;16.814
2001V ; 3;52025.19134;16.840
2001V ; 3;52028.12782;16.918
2001V ; 3;52035.13861;17.122
2001V ; 3;52036.16139;17.112
2001V ; 3;52040.29038;17.189
2001V ; 3;52051.26134;17.439
2001V ; 3;52060.19399;17.652
2001V ; 4;51959.54146;16.482
2001V ; 4;51961.30910;15.835
2001V ; 4;51963.39751;15.380
2001V ; 4;51965.32801;15.050
2001V ; 4;51966.44191;14.981
2001V ; 4;51967.41201;14.884
2001V ; 4;51975.27346;14.636
2001V ; 4;51980.50748;14.743
2001V ; 4;51980.52065;14.730
2001V ; 4;51983.50883;14.907
2001V ; 4;51983.52138;14.897
2001V ; 4;51984.41546;14.948
2001V ; 4;51985.32297;14.986
2001V ; 4;51988.24826;15.147
2001V ; 4;51991.16925;15.278
2001V ; 4;51994.41683;15.369
2001V ; 4;51995.36319;15.296
2001V ; 4;52002.30358;15.429
2001V ; 4;52002.30358;15.422
2001V ; 4;52002.32090;15.453
2001V ; 4;52013.24962;16.035
2001V ; 4;52018.32762;16.258
2001V ; 4;52020.35316;16.324
2001V ; 4;52022.37161;16.397
2001V ; 4;52025.19359;16.503
2001V ; 4;52028.13009;16.578
2001V ; 4;52031.20588;16.675
2001V ; 4;52034.18715;16.756
2001V ; 4;52035.14111;16.800
2001V ; 4;52036.16411;16.832
2001V ; 4;52038.37348;16.893
2001V ; 4;52040.29265;16.987
2001V ; 4;52051.26359;17.242
2001V ; 4;52060.19623;17.461
2001V ; 5;51959.54309;16.502
2001V ; 5;51960.41126;16.131
2001V ; 5;51961.31060;15.902
2001V ; 5;51963.39938;15.510
2001V ; 5;51966.44343;15.084
2001V ; 5;51966.44343;15.083
2001V ; 5;51967.41390;15.038
2001V ; 5;51975.27497;14.974
2001V ; 5;51977.50184;15.061
2001V ; 5;51980.50898;15.128
2001V ; 5;51980.50898;15.126
2001V ; 5;51980.52215;15.136
2001V ; 5;51981.52345;15.176
2001V ; 5;51983.51034;15.284
2001V ; 5;51983.52287;15.277
2001V ; 5;51984.41697;15.333
2001V ; 5;51985.32448;15.383
2001V ; 5;51988.24972;15.462
2001V ; 5;51991.17078;15.470
2001V ; 5;51994.41836;15.384
2001V ; 5;51995.36469;15.378
2001V ; 5;52002.30503;15.262
2001V ; 5;52002.30503;15.252
2001V ; 5;52002.32270;15.266
2001V ; 5;52020.35494;16.124
2001V ; 5;52022.37340;16.224
2001V ; 5;52025.19538;16.322
2001V ; 5;52031.20769;16.555
2001V ; 5;52035.14325;16.716
